Rk,Name,Yrs,From,To,ASG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WAR,Birthdate,Debut,Birthplace
18,Jorge Comellas\comeljo01,1,1945,1945,0,0,2,.000,4.50,7,1,0,0,0,0,12.0,11,7,6,1,6,0,6,0,0,0,51,-0.03,Dec 7 1916,Apr 19 1945,La Habana La Habana
19,Gerardo Concepción\concege01,1,2016,2016,0,0,0,,3.86,3,0,1,0,0,0,2.1,2,1,1,0,1,0,2,0,0,0,10,0.01,Feb 29 1992,Jun 21 2016,La Habana La Habana
20,Sandy Consuegra\consusa01,8,1950,1957,1,51,32,.614,3.37,248,71,91,24,5,28,809.1,811,346,303,43,246,28,193,6,2,8,3401,12.18,Sep 3 1920,Jun 10 1950,Potrerillos
21,José Contreras\contrjo01,11,2003,2013,1,78,67,.538,4.57,299,175,37,5,3,9,1173.0,1176,660,595,131,427,15,889,62,2,72,5087,13.46,Dec 6 1971,Mar 31 2003,Las Martinas Pinar del Rio
22,Nestor Cortes Jr.\cortene01,3,2018,2020,0,5,2,.714,6.72,42,2,12,0,0,0,79.0,97,62,59,24,38,1,80,3,0,1,368,-1.07,Dec 10 1994,Mar 31 2018,Surgidero de Batabano Mayabeque
23,Mike Cuellar\cuellmi01,15,1959,1977,4,185,130,.587,3.14,453,379,33,172,36,11,2808.0,2538,1130,979,222,822,61,1632,12,6,53,11505,29.18,May 8 1937,Apr 18 1959,Las Villas
24,Bert Cueto\cuetobe01,1,1961,1961,0,1,3,.250,7.17,7,5,0,0,0,0,21.1,27,24,17,7,10,0,5,1,0,0,102,-0.92,Aug 14 1937,Jun 18 1961,San Luis Pinar del Rio
25,Tommy de la Cruz\dela_to01,1,1944,1944,0,9,9,.500,3.25,34,20,10,9,0,1,191.1,170,73,69,9,45,7,65,1,0,0,770,2.25,Sep 18 1911,Apr 20 1944,Marianao La Habana
26,Odrisamer Despaigne\despaod01,6,2014,2019,0,13,26,.333,5.11,109,50,20,0,0,1,363.0,396,226,206,36,130,6,224,21,1,8,1596,-2.63,Apr 4 1987,Jun 23 2014,La Habana La Habana
27,Pedro Dibut\dibutpe01,2,1924,1925,0,3,0,1.000,2.70,8,2,5,2,0,0,36.2,27,11,11,1,12,,15,0,0,0,145,1.04,Nov 18 1892,May 1 1924,Cienfuegos Cienfuegos
28,Lino Donoso\donosli01,2,1955,1956,0,4,6,.400,5.21,28,9,11,3,0,1,96.2,108,58,56,16,36,3,39,1,0,1,427,0.73,Sep 23 1922,Jun 18 1955,La Habana La Habana
29,Roenis Elias\eliasro01,6,2014,2019,0,22,24,.478,3.97,126,54,44,1,1,14,388.0,364,194,171,44,148,7,325,22,6,11,1652,2.23,Aug 1 1988,Apr 3 2014,Guantanamo
30,Oscar Estrada\estraos01,1,1929,1929,0,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,1,0,0,0,1,0,5,0.04,Feb 15 1902,Apr 21 1929,La Habana La Habana
31,Jose Fernandez\fernajo02,4,2013,2016,2,38,17,.691,2.58,76,76,0,0,0,0,471.1,357,150,135,31,140,12,589,13,3,16,1888,13.04,Jul 31 1992,Apr 7 2013,Santa Clara Villa Clara
32,Osvaldo Fernandez\fernaos01,4,1996,2001,0,19,26,.422,4.93,76,67,3,3,0,0,387.0,439,229,212,43,136,11,208,12,4,9,1709,0.96,Nov 4 1966,Apr 5 1996,Holguin Holguin
33,Mike Fornieles\fornimi01,12,1952,1963,1,63,64,.496,3.96,432,76,195,20,4,55,1156.2,1165,567,509,98,421,40,576,32,2,34,4983,8.07,Jan 18 1932,Sep 2 1952,La Habana La Habana
34,Tony Fossas\fossato01,12,1988,1999,0,17,24,.415,3.90,567,0,149,0,0,7,415.2,434,211,180,39,180,36,324,10,4,11,1842,2.54,Sep 23 1957,May 15 1988,La Habana La Habana
35,Onelki García\garcion01,2,2013,2017,0,0,1,.000,13.50,5,1,1,0,0,0,7.1,13,11,11,3,9,0,3,0,0,0,41,-0.43,Aug 2 1989,Sep 11 2013,Guantanamo Guantanamo
36,Ramon Garcia\garcira01,1,1948,1948,0,0,0,,17.18,4,0,2,0,0,0,3.2,11,7,7,0,4,0,2,1,0,0,26,-0.25,Mar 5 1924,Apr 19 1948,La Esperanza
37,Vince Gonzales\gonzavi01,1,1955,1955,0,0,0,,27.00,1,0,1,0,0,0,2.0,6,6,6,0,3,0,1,0,0,0,15,-0.15,Sep 28 1925,Apr 13 1955,Quivican
38,Julio Gonzalez\gonzaju01,1,1949,1949,0,0,0,,4.72,13,0,4,0,0,0,34.1,33,20,18,3,27,0,5,1,0,1,161,0.33,Dec 20 1920,Aug 9 1949,Banes
39,Miguel González\gonzami05,1,2014,2014,0,0,1,.000,6.75,6,0,4,0,0,0,5.1,9,4,4,1,3,0,5,0,0,0,29,-0.15,Sep 23 1983,Sep 3 2014,La Habana La Habana
40,Adrián Hernández\hernaad01,3,2001,2004,0,0,6,.000,6.55,14,5,3,0,0,0,44.0,45,36,32,10,30,1,33,2,0,8,209,-0.71,Mar 25 1975,Apr 21 2001,La Habana La Habana
41,Evelio Hernandez\hernaev01,2,1956,1957,0,1,1,.500,4.45,18,6,6,1,0,0,58.2,62,30,29,4,28,1,24,0,0,1,261,0.79,Dec 24 1930,Sep 12 1956,Guanabacoa La Habana
42,Liván Hernández\hernali01,17,1996,2012,2,178,177,.501,4.44,519,474,17,50,9,1,3189.0,3525,1686,1572,362,1066,86,1976,78,13,41,13816,24.77,Feb 20 1975,Sep 24 1996,Villa Clara
43,Orlando Hernandez\hernaor01,9,1998,2007,0,90,65,.581,4.13,219,211,2,9,2,2,1314.2,1181,641,604,177,479,18,1086,67,7,27,5558,23.11,Oct 11 1965,Jun 3 1998,Villa Clara
44,Yoslán Herrera\herreyo01,2,2008,2014,0,2,2,.500,6.43,25,5,8,0,0,0,35.0,57,25,25,1,21,3,23,1,0,1,177,-0.39,Apr 28 1981,Jul 12 2008,Pinar del Rio Pinar del Rio
45,Dalier Hinojosa\hinojda01,2,2015,2016,0,2,1,.667,1.51,29,0,9,0,0,0,35.2,25,7,6,2,14,1,31,1,0,1,146,1.24,Feb 10 1986,May 3 2015,Isla de la Juventud
46,Raisel Iglesias\iglesra01,7,2015,2021,0,19,33,.365,3.20,279,21,206,0,0,108,416.2,335,158,148,50,133,9,489,19,4,11,1710,8.78,Jan 4 1990,Apr 12 2015,Isla de la Juventud
47,Hansel Izquierdo\izquiha02,1,2002,2002,0,2,0,1.000,4.55,20,2,5,0,0,0,29.2,33,17,15,2,21,3,20,5,0,0,144,-0.08,Jan 2 1977,Apr 21 2002,La Habana La Habana
48,George Lauzerique\lauzege01,4,1967,1970,0,4,8,.333,5.00,34,14,7,2,0,0,113.1,110,63,63,23,48,1,73,4,0,5,491,-0.55,Jul 22 1947,Sep 17 1967,La Habana La Habana
49,Raudel Lazo\lazora01,1,2015,2015,0,0,0,,3.18,7,0,1,0,0,0,5.2,5,2,2,1,2,0,5,0,0,0,24,0.06,Apr 12 1989,Sep 5 2015,Pinar del Rio
50,Izzy Leon\leoniz01,1,1945,1945,0,0,4,.000,5.35,14,4,4,0,0,0,38.2,49,25,23,3,19,1,11,0,1,2,179,-0.04,Jan 4 1911,Jun 21 1945,Cruces Las Villas
51,Marcelino Lopez\lopezma01,8,1963,1972,0,31,40,.437,3.62,171,93,20,14,3,2,653.0,591,300,263,44,317,17,426,15,2,38,2823,2.51,Sep 23 1943,Apr 14 1963,La Habana La Habana
52,Ramon Lopez\lopezra01,1,1966,1966,0,0,1,.000,5.14,4,1,1,0,0,0,7.0,4,5,4,1,4,0,2,0,1,1,30,-0.12,May 26 1933,Aug 21 1966,Las Villas
53,Yoan López\lopezyo01,4,2018,2021,0,2,8,.200,3.76,104,0,27,0,0,1,93.1,82,46,39,17,31,6,76,0,1,1,386,0.60,Jan 2 1993,Sep 9 2018,Nueva Gerona Isla de la Juventud
54,Dolf Luque\luquedo01,20,1914,1935,0,194,179,.520,3.24,550,367,128,206,26,29,3220.1,3231,1412,1161,113,918,24,1130,26,5,50,13470,43.82,Aug 4 1890,May 20 1914,La Habana La Habana
55,Hector Maestri\maesthe01,2,1960,1961,0,0,1,.000,1.13,2,1,0,0,0,0,8.0,7,3,1,1,3,0,3,0,0,0,33,0.11,Apr 19 1935,Sep 24 1960,La Habana La Habana
56,Connie Marrero\marreco01,5,1950,1954,1,39,40,.494,3.67,118,94,15,51,7,3,735.1,736,332,300,60,249,22,297,16,5,11,3142,9.74,Apr 25 1911,Apr 21 1950,Sagua La Grande Villa Clara
57,Leonys Martín\martile01,9,2011,2019,0,0,0,,27.00,1,0,1,0,0,0,0.2,3,2,2,1,0,0,0,0,0,0,5,-0.07,Mar 6 1988,Sep 2 2011,Villa Clara Villa Clara
58,Marty Martinez\martima01,7,1962,1972,0,0,0,,13.50,1,0,1,0,0,0,0.2,1,1,1,1,0,0,0,0,0,0,3,-0.03,Aug 23 1941,May 2 1962,La Habana La Habana
59,Rogelio Martinez\martiro01,1,1950,1950,0,0,1,.000,27.00,2,1,1,0,0,0,1.1,4,4,4,0,2,0,0,0,0,0,10,-0.23,Nov 5 1918,Jul 13 1950,Cidra
60,Yunesky Maya\mayayu01,3,2010,2013,0,1,5,.167,5.80,16,10,3,0,0,0,59.0,72,39,38,7,21,3,27,4,3,3,263,-0.74,Aug 28 1981,Sep 7 2010,Pinar del Rio Pinar del Rio
61,Tony Menendez\menento01,3,1992,1994,0,3,1,.750,4.97,23,0,6,0,0,0,29.0,29,17,16,7,6,0,20,1,0,0,119,-0.30,Feb 20 1965,Jun 22 1992,La Habana La Habana
62,Ariel Miranda\miranar01,3,2016,2018,0,13,9,.591,4.72,44,40,2,1,0,0,223.0,193,122,117,49,85,1,186,5,0,10,934,1.64,Jan 10 1989,Jul 3 2016,La Habana La Habana
63,Aurelio Monteagudo\monteau01,7,1963,1973,0,3,7,.300,5.05,72,7,31,0,0,4,132.0,122,82,74,18,62,5,58,6,0,6,572,-1.04,Nov 19 1943,Sep 1 1963,Caibarien
64,Rene Monteagudo\montere01,4,1938,1945,0,3,7,.300,6.42,46,11,22,5,0,2,168.1,221,127,120,11,95,1,93,5,1,1,806,-1.29,Mar 12 1916,Sep 6 1938,La Habana La Habana
65,Manny Montejo\montema01,1,1961,1961,0,0,0,,3.86,12,0,2,0,0,0,16.1,13,7,7,2,6,1,15,2,0,1,68,0.17,Oct 16 1935,Jul 25 1961,Caibarien
66,Kendrys Morales\moralke01,13,2006,2019,0,0,0,,4.50,2,0,2,0,0,0,2.0,1,1,1,0,3,0,0,1,0,0,11,0.02,Jun 20 1983,May 23 2006,Fomento Sancti Spiritus
67,Adrián Morejón\morejad01,3,2019,2021,0,2,2,.500,5.91,16,8,1,0,0,0,32.0,40,22,21,10,9,0,37,0,0,0,141,-0.33,Feb 27 1999,Jul 21 2019,La Habana La Habana
68,Julio Moreno\morenju01,4,1950,1953,0,18,22,.450,4.25,73,45,15,14,0,2,336.2,349,181,159,31,157,6,119,7,1,3,1483,1.13,Jan 28 1921,Sep 8 1950,Guines
69,Cholly Naranjo\naranch01,1,1956,1956,0,1,2,.333,4.46,17,3,7,0,0,0,34.1,37,22,17,7,17,1,26,1,0,1,155,-0.14,Nov 25 1934,Jul 8 1956,La Habana La Habana
70,Vladimir Núñez\nunezvl01,9,1998,2009,0,21,34,.382,4.83,254,27,91,0,0,21,442.0,430,264,237,55,199,19,327,13,3,22,1924,-0.57,Mar 15 1975,Sep 11 1998,La Habana La Habana
71,Eddie Oropesa\oropeed01,4,2001,2004,0,8,4,.667,7.34,125,0,22,0,0,0,92.0,99,79,75,11,72,11,78,4,2,6,444,-2.64,Nov 23 1971,Apr 2 2001,Colon
72,Baby Ortiz\ortizba01,1,1944,1944,0,0,2,.000,6.23,2,2,0,1,0,0,13.0,13,11,9,0,6,0,4,0,0,2,58,-0.37,Dec 5 1919,Sep 23 1944,Camaguey Camaguey
73,Johan Oviedo\oviedjo01,2,2020,2021,0,0,3,.000,4.60,6,5,0,0,0,0,29.1,26,18,15,3,12,0,20,5,0,4,129,-0.27,Mar 2 1998,Aug 19 2020,La Habana La Habana
74,Emilio Palmero\palmeem01,5,1915,1928,0,6,15,.286,5.17,41,17,14,5,0,0,141.0,172,104,81,4,83,0,48,11,0,4,660,-0.76,Jun 13 1895,Sep 21 1915,Guanabacoa La Habana
75,Camilo Pascual\pascuca02,18,1954,1971,7,174,170,.506,3.63,529,404,67,132,36,10,2930.2,2703,1334,1183,256,1069,62,2167,61,12,86,12415,37.44,Jan 20 1934,Apr 15 1954,La Habana La Habana
76,Carlos Pascual\pascuca01,1,1950,1950,0,1,1,.500,2.12,2,2,0,2,0,0,17.0,12,5,4,0,8,0,3,1,0,0,71,0.77,Mar 13 1931,Sep 24 1950,La Habana La Habana
77,Orlando Pena\penaor01,14,1958,1975,0,56,77,.421,3.71,427,93,155,21,4,40,1202.0,1175,549,495,151,352,42,818,28,5,31,5085,13.35,Nov 17 1933,Aug 24 1958,Victoria de las Tunas
78,Cionel Pérez\perezci01,4,2018,2021,0,2,1,.667,5.87,24,0,7,0,0,0,30.2,27,21,20,6,18,1,31,0,0,0,135,-0.58,Apr 21 1996,Jul 11 2018,La Habana La Habana
79,Ariel Prieto\prietar01,6,1995,2001,0,15,24,.385,4.85,70,60,5,3,0,0,352.1,407,218,190,34,176,7,231,20,4,17,1607,3.27,Oct 22 1969,Jul 2 1995,La Habana La Habana
80,Alexei Ramírez\ramiral03,9,2008,2016,1,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,1,0,0,5,0.03,Sep 22 1981,Mar 31 2008,Pinar del Rio Pinar del Rio
81,Pedro Ramos\ramospe01,15,1955,1970,1,117,160,.422,4.08,582,268,182,73,13,54,2355.2,2364,1210,1068,316,724,76,1305,68,7,32,10048,22.42,Apr 28 1935,Apr 11 1955,Pinar del Rio Pinar del Rio
82,Armando Roche\rochear01,1,1945,1945,0,0,0,,6.00,2,0,1,0,0,0,6.0,10,4,4,0,2,1,0,0,0,0,28,-0.04,Dec 7 1926,May 10 1945,La Habana La Habana
83,Freddy Rodriguez\rodrifr01,2,1958,1959,0,0,0,,8.68,8,0,3,0,0,2,9.1,12,9,9,3,5,0,6,2,0,0,47,-0.34,Apr 29 1924,Apr 18 1958,La Habana La Habana
84,Cookie Rojas\rojasco01,16,1962,1977,5,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,5,0.04,Mar 6 1939,Apr 10 1962,La Habana La Habana
85,Minnie Rojas\rojasmi01,3,1966,1968,0,23,16,.590,3.00,157,2,95,0,0,43,261.0,244,102,87,27,68,23,153,4,1,11,1086,1.65,Nov 26 1933,May 30 1966,Remedios Villa Clara
86,Israel Sanchez\sanchis01,2,1988,1990,0,3,2,.600,5.36,30,1,9,0,0,1,45.1,52,29,27,1,21,2,19,1,1,3,204,-0.31,Aug 20 1963,Jul 7 1988,Falcon Las Villas
87,Raul Sanchez\sanchra01,3,1952,1960,0,5,3,.625,4.62,49,2,15,1,1,5,89.2,86,51,46,8,43,4,48,7,0,2,395,-0.01,Dec 12 1930,Apr 17 1952,Marianao La Habana
88,Amauri Sanit\sanitam01,1,2011,2011,0,0,0,,12.86,4,0,1,0,0,0,7.0,12,10,10,0,3,1,4,3,0,1,40,-0.28,Jul 4 1979,May 12 2011,La Habana La Habana
89,Diego Segui\seguidi01,15,1962,1977,0,92,111,.453,3.81,639,171,264,28,7,71,1807.2,1656,867,765,185,786,86,1298,18,10,75,7741,11.99,Aug 17 1937,Apr 12 1962,Holguin Holguin
90,Alay Soler\soleral01,1,2006,2006,0,2,3,.400,6.00,8,8,0,1,1,0,45.0,50,33,30,7,21,1,23,1,0,3,208,-0.45,Oct 9 1979,May 24 2006,Pinar del Rio Pinar del Rio
91,Michael Tejera\tejermi01,5,1999,2005,0,11,13,.458,5.14,111,27,15,0,0,3,238.1,256,140,136,26,111,6,172,10,0,4,1060,0.20,Oct 18 1976,Sep 8 1999,La Habana La Habana
92,Luis Tiant\tiantlu01,19,1964,1982,3,229,172,.571,3.30,573,484,51,187,49,15,3486.1,3075,1400,1280,346,1104,53,2416,49,4,27,14365,65.65,Nov 23 1940,Jul 19 1964,Marianao La Habana
93,Gil Torres\torregi01,4,1940,1946,0,0,0,,5.59,5,0,3,0,0,1,9.2,12,7,6,0,3,0,3,0,0,0,43,-0.30,Aug 23 1915,Apr 25 1940,Regla
94,Oscar Tuero\tueroos01,3,1918,1920,0,6,9,.400,2.88,58,19,28,6,0,4,199.2,174,87,64,4,53,,58,13,1,6,812,0.29,Dec 17 1893,May 30 1918,La Habana La Habana
95,Sandy Ullrich\ullrisa01,2,1944,1945,0,3,3,.500,5.04,31,6,18,0,0,1,91.0,108,55,51,5,38,3,28,1,0,2,420,-1.17,Jul 25 1921,May 3 1944,La Habana La Habana
96,Raúl Valdés\valdera02,5,2010,2014,0,7,7,.500,5.13,103,3,27,0,0,2,140.1,138,81,80,20,49,4,147,7,0,3,601,-0.48,Nov 27 1977,Apr 11 2010,La Habana La Habana
97,Rene Valdes\valdere01,1,1957,1957,0,1,1,.500,5.54,5,1,0,0,0,0,13.0,13,8,8,1,7,1,10,0,0,1,59,-0.08,Jun 2 1929,Apr 21 1957,Guanabacoa La Habana
98,Adrián Zabala\zabalad01,2,1945,1949,0,4,7,.364,5.02,26,9,8,3,1,1,84.1,90,53,47,7,30,4,27,1,3,0,359,-0.26,Aug 26 1916,Aug 11 1945,San Antonio de los Banos Artemisa
99,Oscar Zamora\zamoros01,4,1974,1978,0,13,14,.481,4.53,158,2,76,0,0,23,224.2,256,121,113,33,58,21,99,1,3,2,968,1.63,Sep 23 1944,Jun 18 1974,Camaguey Camaguey
,Totals,523,1914,2021,49,2092,2080,.501,3.87,10903,4218,3284,1070,213,1019,37019.1,36002,17786,15937,3571,13046,968,23585,975,149,914,157506,386.51,,,
