Rk,Name,Yrs,From,To,ASG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,WAR,Birthdate,Debut,Birthplace,Pos
32,Bert Campaneris\campabe01,19,1964,1983,6,2328,9625,8684,1181,2249,313,86,79,646,649,199,618,1142,.259,.311,.342,.653,53.05,Mar 9 1942,Jul 23 1964,Pueblo Nuevo,*6H574/D83219
33,Frank Campos\campofr01,3,1951,1953,0,71,153,147,13,41,9,2,0,13,0,0,2,14,.279,.298,.367,.665,0.00,May 11 1924,Sep 11 1951,La Habana La Habana,H/978
34,Bárbaro Cañizares\canizba01,1,2009,2009,0,5,21,21,1,4,1,0,0,0,0,0,0,6,.190,.190,.238,.429,-0.36,Nov 21 1979,Jun 11 2009,La Habana La Habana,/3
35,Jose Canseco\cansejo01,17,1985,2001,6,1887,8129,7057,1186,1877,340,14,462,1407,200,88,906,1942,.266,.353,.515,.867,42.43,Jul 2 1964,Sep 2 1985,La Habana La Habana,*D*9*7H/81
36,Ozzie Canseco\canseoz01,3,1990,1993,0,24,74,65,8,13,6,0,0,4,0,0,9,17,.200,.297,.292,.590,-0.64,Jul 2 1964,Jul 18 1990,La Habana La Habana,/7HD9
37,Jose Cardenal\cardejo02,18,1963,1980,0,2017,7698,6964,936,1913,333,46,138,775,329,137,608,807,.275,.333,.395,.728,20.68,Oct 7 1943,Apr 14 1963,Matanzas Matanzas,*8*9*7H3/546
38,Leo Cardenas\cardele01,16,1960,1975,5,1941,7402,6707,662,1725,285,49,118,689,39,48,522,1135,.257,.311,.367,.679,27.21,Dec 17 1938,Jul 25 1960,Matanzas Matanzas,*65H/D4
39,Paul Casanova\casanpa01,10,1965,1974,1,859,2930,2786,214,627,87,12,50,252,2,10,101,430,.225,.252,.319,.571,1.28,Dec 21 1941,Sep 18 1965,Colon,*2H
40,Alberto Castillo\castial02,4,2008,2011,0,17,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.65,Jul 5 1975,Apr 28 2008,La Habana La Habana,1
41,Rusney Castillo\castiru02,3,2014,2016,0,99,337,317,45,83,12,2,7,35,7,5,16,63,.262,.301,.379,.679,1.55,Jul 9 1987,Sep 17 2014,Ciego de Avila Ciego de Avila,9/78HD
42,Yoenis Céspedes\cespeyo01,8,2012,2020,2,834,3490,3191,475,870,173,24,165,528,43,20,240,742,.273,.327,.497,.824,21.56,Oct 18 1985,Mar 28 2012,Campechuela Granma,*78D/H
43,Aroldis Chapman\chapmar01,12,2010,2021,6,360,2,2,1,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,18.06,Feb 28 1988,Aug 31 2010,Holguin Holguin,*1
44,Jorge Comellas\comeljo01,1,1945,1945,0,7,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-0.09,Dec 7 1916,Apr 19 1945,La Habana La Habana,/1
45,Gerardo Concepción\concege01,1,2016,2016,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.01,Feb 29 1992,Jun 21 2016,La Habana La Habana,/1
46,Sandy Consuegra\consusa01,8,1950,1957,1,251,250,218,15,37,2,0,0,18,0,0,10,53,.170,.206,.179,.385,11.74,Sep 3 1920,Jun 10 1950,Potrerillos,1/H5
47,José Contreras\contrjo01,11,2003,2013,1,120,33,29,1,0,0,0,0,0,0,0,3,18,.000,.094,.000,.094,13.14,Dec 6 1971,Mar 31 2003,Las Martinas Pinar del Rio,1
48,Nestor Cortes Jr.\cortene01,3,2018,2020,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-1.07,Dec 10 1994,Mar 31 2018,Surgidero de Batabano Mayabeque,1
49,Mike Cuellar\cuellmi01,15,1959,1977,4,316,716,661,37,76,8,4,7,33,0,0,9,304,.115,.128,.171,.299,26.89,May 8 1937,Apr 18 1959,Las Villas,*1/H
50,Bert Cueto\cuetobe01,1,1961,1961,0,7,8,5,1,0,0,0,0,0,0,0,1,1,.000,.167,.000,.167,-0.97,Aug 14 1937,Jun 18 1961,San Luis Pinar del Rio,/1
51,Manuel Cueto\cuetoma01,4,1914,1919,0,151,452,379,36,86,10,1,1,31,13,,50,33,.227,.323,.266,.590,0.05,Feb 8 1892,Jun 25 1914,Guanajay La Habana,7/9H46528
52,Tommy de la Cruz\dela_to01,1,1944,1944,0,36,66,58,3,9,3,0,0,5,0,0,3,13,.155,.197,.207,.404,2.18,Sep 18 1911,Apr 20 1944,Marianao La Habana,1/H
53,Mike de la Hoz\dela_mi01,9,1960,1969,0,494,1195,1114,116,280,42,5,25,115,2,3,56,130,.251,.290,.365,.655,1.32,Oct 2 1938,Jul 22 1960,La Habana La Habana,H546/73
54,Juan Delis\delisju01,1,1955,1955,0,54,139,132,12,25,3,1,0,11,1,2,3,15,.189,.219,.227,.446,-1.49,Feb 27 1928,Apr 16 1955,Santiago de Cuba Santiago de Cuba,/5H974
55,Odrisamer Despaigne\despaod01,6,2014,2019,0,82,87,78,0,5,1,0,0,1,0,0,2,27,.064,.088,.077,.164,-3.14,Apr 4 1987,Jun 23 2014,La Habana La Habana,1
56,Orestes Destrade\destror01,4,1987,1994,0,237,866,765,80,184,25,3,26,106,1,2,87,184,.241,.319,.383,.702,-1.90,May 8 1962,Sep 11 1987,Santiago de Cuba Santiago de Cuba,3H/D
57,Aledmys Díaz\diazal02,6,2016,2021,1,410,1536,1395,204,382,89,4,55,188,13,9,105,208,.274,.328,.462,.790,6.19,Aug 1 1990,Apr 5 2016,Santa Clara,654H/37D
58,Juan Diaz\diazju01,1,2002,2002,0,4,8,7,2,2,1,0,1,2,0,0,1,2,.286,.375,.857,1.232,0.10,Feb 19 1974,Jun 12 2002,San Jose de las Lajas Mayabeque,/H3D
59,Yandy Díaz\diazya01,5,2017,2021,0,210,818,714,114,198,38,4,17,81,4,2,95,138,.277,.363,.413,.776,3.18,Aug 8 1991,Apr 3 2017,Sagua la Grande Villa Clara,5D3/H7
60,Pedro Dibut\dibutpe01,2,1924,1925,0,8,14,11,2,3,0,1,0,3,0,0,2,0,.273,.385,.455,.839,1.21,Nov 18 1892,May 1 1924,Cienfuegos Cienfuegos,/1
61,Lino Donoso\donosli01,2,1955,1956,0,28,30,27,2,5,0,0,0,1,0,0,0,8,.185,.185,.185,.370,0.61,Sep 23 1922,Jun 18 1955,La Habana La Habana,/1
62,Roenis Elias\eliasro01,6,2014,2019,0,11,7,7,0,1,0,0,0,0,0,0,0,2,.143,.143,.143,.286,2.22,Aug 1 1988,Apr 3 2014,Guantanamo,1
63,Yunel Escobar\escobyu01,11,2007,2017,0,1434,5957,5315,689,1501,258,12,90,519,34,32,509,686,.282,.350,.386,.736,26.75,Nov 2 1982,Jun 2 2007,La Habana La Habana,*6*5H/4D7
64,Bobby Estalella\estalbo01,9,1935,1949,0,680,2569,2196,279,620,106,33,44,308,13,17,350,246,.282,.383,.421,.804,12.91,Apr 25 1911,Sep 7 1935,Cardenas Matanzas,87H59/3
65,Oscar Estrada\estraos01,1,1929,1929,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.04,Feb 15 1902,Apr 21 1929,La Habana La Habana,/1
66,Chico Fernandez\fernach01,8,1956,1963,0,856,3079,2778,270,666,91,19,40,258,68,28,213,338,.240,.292,.329,.622,-2.47,Mar 2 1932,Jul 14 1956,La Habana La Habana,*6H/543
67,Chico Fernandez\fernach02,1,1968,1968,0,24,19,18,0,2,0,0,0,0,0,0,1,2,.111,.158,.111,.269,-0.15,Apr 23 1939,Apr 20 1968,La Habana La Habana,/H64
68,Jose Fernandez\fernajo02,4,2013,2016,2,71,159,136,11,29,4,1,2,14,0,0,1,43,.213,.217,.301,.519,14.21,Jul 31 1992,Apr 7 2013,Santa Clara Villa Clara,1/H
69,Jose Miguel Fernandez\fernajo03,1,2018,2018,0,36,123,116,9,31,8,0,2,11,1,0,6,15,.267,.309,.388,.697,0.24,Apr 27 1988,Jun 8 2018,Santa Clara Villa Clara,/3H5D4
70,Osvaldo Fernandez\fernaos01,4,1996,2001,0,78,135,115,1,8,0,0,0,2,0,0,4,56,.070,.108,.070,.178,-0.31,Nov 4 1966,Apr 5 1996,Holguin Holguin,1/H
71,Angel Fleitas\fleitan01,1,1948,1948,0,15,16,13,1,1,0,0,0,1,0,2,3,5,.077,.250,.077,.327,-0.21,Nov 10 1914,Jul 5 1948,Los Abreus,/H6
72,Mike Fornieles\fornimi01,12,1952,1963,1,440,332,308,25,52,7,1,1,16,1,0,3,63,.169,.177,.208,.385,7.28,Jan 18 1932,Sep 2 1952,La Habana La Habana,*1/H
73,Tony Fossas\fossato01,12,1988,1999,0,201,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,2.50,Sep 23 1957,May 15 1988,La Habana La Habana,*1
74,Tito Fuentes\fuentti01,13,1965,1978,0,1499,6073,5566,610,1491,211,46,45,438,80,47,298,561,.268,.307,.347,.653,11.72,Jan 4 1944,Aug 18 1965,La Habana La Habana,*46H5
75,Barbaro Garbey\garbeba01,3,1984,1988,0,226,674,626,76,167,28,2,11,86,9,9,36,83,.267,.309,.371,.679,0.12,Dec 4 1956,Apr 3 1984,Santiago de Cuba Santiago de Cuba,3HD/57948
76,Adolis García\garciad02,2,2018,2020,0,24,24,23,3,2,1,0,0,1,0,0,1,11,.087,.125,.130,.255,-0.40,Mar 2 1993,Aug 8 2018,Ciego de Avila,/H798
77,Adonis Garcia\garciad01,3,2015,2017,0,244,944,896,104,239,45,0,29,110,7,2,36,151,.267,.300,.414,.714,-0.22,Apr 12 1985,May 19 2015,Ciego de Avila,5/H7D
78,José García\garcijo02,1,2020,2020,0,24,68,67,4,13,0,0,0,2,1,1,1,26,.194,.206,.194,.400,-0.68,Apr 5 1998,Aug 27 2020,La Habana La Habana,/6HD
79,Onelki García\garcion01,2,2013,2017,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.43,Aug 2 1989,Sep 11 2013,Guantanamo Guantanamo,/1
80,Ramon Garcia\garcira01,1,1948,1948,0,4,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,-0.19,Mar 5 1924,Apr 19 1948,La Esperanza,/1
81,Preston Gomez\gomezpr01,1,1944,1944,0,8,7,7,2,2,1,0,0,2,0,0,0,4,.286,.286,.429,.714,-0.06,Apr 20 1923,May 5 1944,Central Preston,/H46
82,Vince Gonzales\gonzavi01,1,1955,1955,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.15,Sep 28 1925,Apr 13 1955,Quivican,/1
83,Eusebio González\gonzaeu01,1,1918,1918,0,3,7,5,2,2,0,1,0,0,0,,1,1,.400,.571,.800,1.371,0.20,Jul 13 1892,Jul 26 1918,La Habana La Habana,/65
84,Julio Gonzalez\gonzaju01,1,1949,1949,0,13,7,5,0,1,0,0,0,0,0,0,2,3,.200,.429,.200,.629,0.35,Dec 20 1920,Aug 9 1949,Banes,/1
85,Miguel González\gonzami05,1,2014,2014,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.15,Sep 23 1983,Sep 3 2014,La Habana La Habana,/1
86,Mike González\gonzami01,17,1912,1932,0,1042,3155,2829,283,717,123,19,13,263,52,11,231,198,.253,.314,.324,.638,9.22,Sep 24 1890,Sep 28 1912,La Habana La Habana,*2H3/97
87,Orlando Gonzalez\gonzaor01,3,1976,1980,0,79,182,164,16,39,2,0,0,5,1,4,15,16,.238,.302,.250,.552,-0.09,Nov 15 1951,Jun 7 1976,La Habana La Habana,/3H9D7
88,Tony Gonzalez\gonzato01,12,1960,1971,0,1559,5794,5195,690,1485,238,57,103,615,79,61,467,706,.286,.350,.413,.764,27.04,Aug 28 1936,Apr 12 1960,Central Cunagua,*8*7H9
89,Yasmani Grandal\grandya01,10,2012,2021,2,932,3517,2976,406,714,144,7,150,449,11,7,496,838,.240,.349,.444,.793,18.43,Nov 8 1988,Jun 2 2012,La Habana La Habana,*2H3/D
90,Mike Guerra\guerrmi01,9,1937,1951,0,565,1751,1581,168,382,42,14,9,168,25,12,131,123,.242,.300,.303,.603,-3.10,Oct 11 1912,Sep 19 1937,La Habana La Habana,*2H/7
91,Alex Guerrero\guerral01,2,2014,2015,0,117,243,232,25,52,9,1,11,36,1,0,7,63,.224,.251,.414,.665,-0.42,Nov 20 1986,Mar 22 2014,Las Tunas Las Tunas,H7/5D
92,Lourdes Gurriel Jr.\gurrilo01,4,2018,2021,0,214,860,800,112,226,41,2,42,119,10,7,44,201,.283,.323,.496,.819,2.78,Oct 10 1993,Apr 20 2018,Sancti Spiritus,764/DH3
93,Yuli Gurriel\gourryu01,6,2016,2021,0,522,2160,2006,268,579,138,5,72,304,14,8,108,233,.289,.328,.470,.798,10.82,Jun 9 1984,Aug 21 2016,Sancti Spiritus,*35/D4H67
94,Adeiny Hechavarria\hechaad01,9,2012,2020,0,922,3288,3071,311,778,116,36,37,273,35,19,163,550,.253,.291,.351,.641,5.00,Apr 15 1989,Aug 4 2012,Santiago de Cuba Santiago de Cuba,*64H5/D
95,Guillermo Heredia\heredgu01,5,2016,2020,0,397,1137,1007,121,241,46,1,19,80,7,12,92,200,.239,.316,.344,.660,2.81,Jan 31 1991,Jul 29 2016,Matanzas Matanzas,87H9/D
96,Adrián Hernández\hernaad01,3,2001,2004,0,6,5,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-0.78,Mar 25 1975,Apr 21 2001,La Habana La Habana,/1
97,Chico Hernández\hernach01,2,1942,1943,0,90,268,244,16,61,9,0,0,16,0,0,20,22,.250,.309,.287,.596,-0.06,Jan 3 1916,Apr 16 1942,La Habana La Habana,2/H
98,Evelio Hernandez\hernaev01,2,1956,1957,0,18,18,17,0,2,0,0,0,0,0,0,1,5,.118,.167,.118,.284,0.67,Dec 24 1930,Sep 12 1956,Guanabacoa La Habana,/1
99,Jackie Hernandez\hernaja01,9,1965,1973,0,618,1611,1480,153,308,37,9,12,121,25,15,93,324,.208,.256,.270,.526,-3.93,Sep 11 1940,Sep 14 1965,Central Tinguaro Matanzas,*6H5/4938
100,Liván Hernández\hernali01,17,1996,2012,2,491,1113,973,64,215,38,2,10,85,0,0,10,130,.221,.231,.295,.526,29.97,Feb 20 1975,Sep 24 1996,Villa Clara,*1/H
101,Michel Hernandez\hernami01,3,2003,2009,0,45,127,118,14,28,3,1,1,12,2,1,8,16,.237,.286,.305,.591,-0.14,Aug 12 1978,Sep 6 2003,La Habana La Habana,2/HD
102,Orlando Hernandez\hernaor01,9,1998,2007,0,61,132,116,6,18,3,1,0,5,3,0,1,41,.155,.162,.198,.361,23.14,Oct 11 1965,Jun 3 1998,Villa Clara,1/H
103,Yadiel Hernández\hernaya01,2,2020,2021,0,17,36,33,3,6,4,0,1,6,0,0,1,13,.182,.222,.394,.616,-0.27,Oct 9 1987,Sep 10 2020,Matanzas,/HD79
104,Mike Herrera\herremi01,2,1925,1926,0,84,308,276,22,76,14,1,0,27,1,5,17,15,.275,.320,.333,.653,0.29,Dec 19 1897,Sep 22 1925,La Habana La Habana,4/5H6
105,Pancho Herrera\herrepa01,3,1958,1961,0,300,1108,975,122,264,46,8,31,128,8,6,113,271,.271,.349,.430,.779,2.56,Jun 16 1934,Apr 15 1958,Santiago de las Vegas La Habana,3/H45
106,Yoslán Herrera\herreyo01,2,2008,2014,0,5,7,7,1,1,0,0,0,0,0,0,0,1,.143,.143,.143,.286,-0.41,Apr 28 1981,Jul 12 2008,Pinar del Rio Pinar del Rio,/1
107,Dalier Hinojosa\hinojda01,2,2015,2016,0,27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1.24,Feb 10 1986,May 3 2015,Isla de la Juventud,/1
108,José Iglesias\iglesjo01,10,2011,2021,1,851,3105,2887,330,801,165,12,35,273,52,30,136,380,.277,.318,.379,.698,11.11,Jan 5 1990,May 8 2011,La Habana La Habana,*65/HD4
109,Raisel Iglesias\iglesra01,7,2015,2021,0,239,48,47,0,4,1,1,0,1,0,0,0,17,.085,.085,.149,.234,8.52,Jan 4 1990,Apr 12 2015,Isla de la Juventud,1
110,Hank Izquierdo\izquiha01,1,1967,1967,0,16,28,26,4,7,2,0,0,2,0,0,1,2,.269,.296,.346,.642,0.05,Mar 20 1931,Aug 9 1967,Matanzas Matanzas,/2H
111,Hansel Izquierdo\izquiha02,1,2002,2002,0,19,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-0.11,Jan 2 1977,Apr 21 2002,La Habana La Habana,/1
112,George Lauzerique\lauzege01,4,1967,1970,0,34,37,33,3,4,0,0,1,4,0,0,0,10,.121,.147,.212,.359,-0.50,Jul 22 1947,Sep 17 1967,La Habana La Habana,1
113,Raudel Lazo\lazora01,1,2015,2015,0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.06,Apr 12 1989,Sep 5 2015,Pinar del Rio,/1
114,Izzy Leon\leoniz01,1,1945,1945,0,14,10,9,0,1,0,0,0,0,0,0,1,1,.111,.200,.111,.311,-0.10,Jan 4 1911,Jun 21 1945,Cruces Las Villas,/1
115,Marcelino Lopez\lopezma01,8,1963,1972,0,215,207,181,26,31,4,0,1,6,1,1,12,80,.171,.222,.210,.432,3.02,Sep 23 1943,Apr 14 1963,La Habana La Habana,1H
116,Ramon Lopez\lopezra01,1,1966,1966,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.12,May 26 1933,Aug 21 1966,Las Villas,/1H
117,Yoan López\lopezyo01,4,2018,2021,0,78,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.60,Jan 2 1993,Sep 9 2018,Nueva Gerona Isla de la Juventud,1
118,Dolf Luque\luquedo01,20,1914,1935,0,559,1192,1043,96,237,31,10,5,90,7,5,70,114,.227,.283,.291,.573,48.09,Aug 4 1890,May 20 1914,La Habana La Habana,*1/H57
119,Hector Maestri\maesthe01,2,1960,1961,0,2,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.09,Apr 19 1935,Sep 24 1960,La Habana La Habana,/1
120,Connie Marrero\marreco01,5,1950,1954,1,118,273,236,17,27,1,0,0,9,0,0,23,53,.114,.193,.119,.312,8.59,Apr 25 1911,Apr 21 1950,Sagua La Grande Villa Clara,1
121,Eli Marrero\marreel01,10,1997,2006,0,724,2126,1906,262,463,99,12,66,261,56,11,168,372,.243,.303,.411,.714,4.91,Nov 17 1973,Sep 3 1997,La Habana La Habana,*2H7938/D5
122,Armando Marsans\marsaar01,8,1911,1918,0,655,2550,2273,267,612,67,19,2,221,171,37,173,117,.269,.325,.318,.643,2.83,Oct 3 1887,Jul 4 1911,Matanzas Matanzas,*897H/3456
123,Leonys Martín\martile01,9,2011,2019,0,770,2792,2532,334,617,94,22,58,228,126,45,190,637,.244,.301,.367,.668,11.43,Mar 6 1988,Sep 2 2011,Villa Clara Villa Clara,*8H9/7D1
124,Hector Martinez\martihe02,2,1962,1963,0,7,17,15,2,4,0,0,1,3,0,1,1,4,.267,.353,.467,.820,0.13,May 11 1939,Sep 30 1962,Las Villas,/H8
125,Jose Martinez\martijo04,2,1969,1970,0,96,201,188,21,46,6,0,1,16,1,3,10,37,.245,.286,.293,.579,0.54,Jul 26 1942,Apr 12 1969,Cardenas Matanzas,4H/657
126,Marty Martinez\martima01,7,1962,1972,0,436,1038,945,97,230,19,11,0,57,7,8,70,107,.243,.296,.287,.583,-1.03,Aug 23 1941,May 2 1962,La Habana La Habana,6H542/731
127,Rogelio Martinez\martiro01,1,1950,1950,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,-0.23,Nov 5 1918,Jul 13 1950,Cidra,/1
128,Tony Martinez\martito01,4,1963,1966,0,73,186,175,13,30,5,0,0,10,2,3,6,26,.171,.198,.200,.398,-1.85,Mar 18 1940,Apr 9 1963,Perico,6/H4
129,Yunesky Maya\mayayu01,3,2010,2013,0,16,18,15,0,1,0,0,0,0,0,0,0,9,.067,.067,.067,.133,-0.89,Aug 28 1981,Sep 7 2010,Pinar del Rio Pinar del Rio,/1
130,Orlando McFarlane\mcfaror01,5,1962,1968,0,124,316,292,22,70,12,0,5,20,0,0,20,93,.240,.290,.332,.622,-0.42,Jun 28 1938,Apr 23 1962,Oriente,2H/9
131,Roman Mejias\mejiaro01,9,1955,1964,0,627,1905,1768,212,449,57,12,54,202,22,12,89,238,.254,.294,.391,.686,1.16,Aug 9 1930,Apr 13 1955,Abreus,9H87
132,Minnie Mendoza\mendomi01,1,1970,1970,0,16,16,16,2,3,0,0,0,2,0,0,0,1,.188,.188,.188,.375,-0.05,Nov 16 1933,Apr 9 1970,Ceiba del Agua,/H54
133,Tony Menendez\menento01,3,1992,1994,0,23,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-0.32,Feb 20 1965,Jun 22 1992,La Habana La Habana,/1
134,Minnie Minoso\minosmi01,17,1949,1980,9,1835,7713,6579,1136,1963,336,83,186,1023,205,130,814,584,.298,.389,.459,.848,50.28,Nov 29 1925,Apr 19 1949,La Habana La Habana,*759H8/3D6
135,Ariel Miranda\miranar01,3,2016,2018,0,4,6,6,1,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,1.57,Jan 10 1989,Jul 3 2016,La Habana La Habana,1/H
136,Juan Miranda\miranju01,4,2008,2011,0,111,296,257,29,58,11,3,11,37,0,1,32,68,.226,.320,.420,.740,-0.02,Apr 25 1983,Sep 18 2008,Consolacion del Sur,3H/D
